,Domain,Division,Class,Order,Family,Genus,Cell shape,Cell motility,Sampling ocean,Sampling regional sea,Sampling country,Sampling ecosystem,Isolation by,Sampling by,Deposit to rcc by,RCC medium,RCC temperature,RCC transfer period weeks,RCC light,Remark,Sampling date,Clonal,Axenic,Pure,Heterotrophic,Toxic,Symbiotic,Transformed,STRAIN ID,Latitude,Longitude,Sampling site,Sampling station,Isolation method,Identification method,Isolation medium,Purification by,Purification method,Sampling depth (m),Contaminant type,Sampling cruise,Sampling temperature,Identification by,Cell assemblage,Date entered catalog,Host type,Host genus,Sampling substrate,Isolation growth temperature,Clade,Deposit to RCC date,Sampling water type
RCC1855,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,flagellated,Mediterranean Sea,,,pelagic,I. Probert,M. Bendif,I. Probert,K/2,17.00,5.00,20,,"Monday, September 1, 2008",No,No,Yes,No,No,No,No,RCC1855,34.13,18.45,,B,Micropipette (1 cell),,K/2 (ian),,,5,,BOUM,,I. Probert,,,,,,,,,
RCC1856,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,flagellated,Mediterranean Sea,,,pelagic,I. Probert,M. Bendif,I. Probert,K/2,17.00,5.00,20,,"Monday, September 1, 2008",No,No,Yes,No,No,No,No,RCC1856,34.13,18.45,,B,Micropipette (1 cell),,K/2 (ian),,,5,,BOUM,,I. Probert,,,,,,,,,
RCC1857,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,flagellated,Mediterranean Sea,,,pelagic,I. Probert,M. Bendif,I. Probert,K/2,17.00,5.00,20,Transcriptome sequence is planned in Oceanomcis (2015),"Monday, September 1, 2008",No,No,Yes,No,No,No,No,RCC1857,34.13,18.45,,B,Micropipette (1 cell),,K/2 (ian),,,5,,BOUM,,I. Probert,,,,,,,,,
RCC2049,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,,,pelagic,I. Probert,Bendif E-M.,I. Probert,K/2,17.00,5.00,20,,"Monday, September 1, 2008",Yes,No,Yes,No,No,No,No,RCC2049,34.13,18.45,,B,Micropipette (1 cell),,K/2 (ian),,,5,,BOUM,,,,,,,,,,,
RCC2050,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,,,pelagic,I. Probert,Bendif E-M.,I. Probert,K/2,17.00,5.00,20,,"Monday, September 1, 2008",Yes,No,Yes,No,No,No,No,RCC2050,34.13,18.45,,B,Micropipette (1 cell),,K/2 (ian),,,5,,BOUM,,,,,,,,,,,
RCC2051,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,,,pelagic,I. Probert,Bendif E-M.,I. Probert,K/2,17.00,5.00,20,,"Monday, September 1, 2008",Yes,No,Yes,No,No,No,No,RCC2051,34.13,18.45,,B,Micropipette (1 cell),,K/2 (ian),,,5,,BOUM,,,,,,,,,,,
RCC2052,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,,,pelagic,I. Probert,Bendif E-M.,I. Probert,K/2,17.00,5.00,20,,"Monday, September 1, 2008",Yes,No,Yes,No,No,No,No,RCC2052,34.13,18.45,,B,Micropipette (1 cell),,K/2 (ian),,,5,,BOUM,,,,,,,,,,,
RCC2053,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,,,pelagic,I. Probert,Bendif E-M.,I. Probert,K/2,17.00,5.00,20,,"Monday, September 1, 2008",Yes,No,Yes,No,No,No,No,RCC2053,34.13,18.45,,B,Micropipette (1 cell),,K/2 (ian),,,5,,BOUM,,,,,,,,,,,
RCC2054,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,,,pelagic,I. Probert,Bendif E-M.,I. Probert,K/2,17.00,5.00,20,,"Monday, September 1, 2008",Yes,No,Yes,No,No,No,No,RCC2054,34.13,18.45,,B,Micropipette (1 cell),,K/2 (ian),,,5,,BOUM,,,,,,,,,,,
RCC2225,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,flagellated,Mediterranean Sea,,,pelagic,P. von Dassow,Bendif E-M.,I. Probert,K/2ET,17.00,8.00,20,Haploid (non-calcifying)  phase (from RCC1854),"Monday, March 1, 2010",Yes,No,Yes,No,No,No,No,RCC2225,34.13,18.45,,B,Micropipette (1 cell),,K/2 (ian),,,5,,BOUM,,,,,,,,,,,
RCC2226,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,flagellated,Mediterranean Sea,,,pelagic,P. von Dassow,Bendif E-M.,I. Probert,K/2ET,17.00,8.00,20,Haploid (non-calcifying)  phase (from RCC1854),"Monday, March 1, 2010",Yes,No,Yes,No,No,No,No,RCC2226,34.13,18.45,,B,Micropipette (1 cell),,K/2 (ian),,,5,,BOUM,,,,,,,,,,,
RCC2227,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,flagellated,Mediterranean Sea,,,pelagic,P. von Dassow,Bendif E-M.,I. Probert,K/2ET,17.00,8.00,20,Haploid (non-calcifying)  phase (from RCC1854),"Monday, March 1, 2010",Yes,No,Yes,No,No,No,No,RCC2227,34.13,18.45,,B,Micropipette (1 cell),,K/2 (ian),,,5,,BOUM,,,,,,,,,,,
RCC2228,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,flagellated,Mediterranean Sea,,,pelagic,P. von Dassow,Bendif E-M.,I. Probert,K/2ET,17.00,8.00,20,Haploid (non-calcifying)  phase (from RCC1855),"Monday, March 1, 2010",Yes,No,Yes,No,No,No,No,RCC2228,34.13,18.45,,B,Micropipette (1 cell),,K/2 (ian),,,5,,BOUM,,,,,,,,,,,
RCC2229,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,flagellated,Mediterranean Sea,,,pelagic,P. von Dassow,Bendif E-M.,I. Probert,K/2ET,17.00,8.00,20,Haploid (non-calcifying)  phase (from RCC1855),"Monday, March 1, 2010",Yes,No,Yes,No,No,No,No,RCC2229,34.13,18.45,,B,Micropipette (1 cell),,K/2 (ian),,,5,,BOUM,,,,,,,,,,,
RCC2230,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,flagellated,Mediterranean Sea,,,pelagic,P. von Dassow,Bendif E-M.,I. Probert,K/2ET,17.00,8.00,20,Haploid (non-calcifying)  phase (from RCC1855),"Monday, March 1, 2010",Yes,No,Yes,No,No,No,No,RCC2230,34.13,18.45,,B,Micropipette (1 cell),,K/2 (ian),,,5,,BOUM,,,,,,,,,,,
RCC2231,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,flagellated,Mediterranean Sea,,,pelagic,P. von Dassow,Bendif E-M.,I. Probert,K/2ET,17.00,8.00,20,Haploid (non-calcifying)  phase (from RCC1856),"Monday, March 1, 2010",Yes,No,Yes,No,No,No,No,RCC2231,34.13,18.45,,B,Micropipette (1 cell),,K/2 (ian),,,5,,BOUM,,,,,,,,,,,
RCC2232,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,flagellated,Mediterranean Sea,,,pelagic,P. von Dassow,Bendif E-M.,I. Probert,K/2ET,17.00,8.00,20,Haploid (non-calcifying)  phase (from RCC1856),"Monday, March 1, 2010",Yes,No,Yes,No,No,No,No,RCC2232,34.13,18.45,,B,Micropipette (1 cell),,K/2 (ian),,,5,,BOUM,,,,,,,,,,,
RCC2233,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,flagellated,Mediterranean Sea,,,pelagic,P. von Dassow,Bendif E-M.,I. Probert,K/2ET,17.00,8.00,20,Haploid (non-calcifying)  phase (from RCC1857),"Monday, March 1, 2010",Yes,No,Yes,No,No,No,No,RCC2233,34.13,18.45,,B,Micropipette (1 cell),,K/2 (ian),,,5,,BOUM,,,,,,,,,,,
RCC2234,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,flagellated,Mediterranean Sea,,,pelagic,P. von Dassow,Bendif E-M.,I. Probert,K/2ET,17.00,8.00,20,Haploid (non-calcifying)  phase (from RCC1857),"Monday, March 1, 2010",Yes,No,Yes,No,No,No,No,RCC2234,34.13,18.45,,B,Micropipette (1 cell),,K/2 (ian),,,5,,BOUM,,,,,,,,,,,
RCC2235,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,flagellated,Mediterranean Sea,,,pelagic,P. von Dassow,Bendif E-M.,I. Probert,K/2ET,17.00,8.00,20,Haploid (non-calcifying)  phase (from RCC1857),"Monday, March 1, 2010",Yes,No,Yes,No,No,No,No,RCC2235,34.13,18.45,,B,Micropipette (1 cell),,K/2 (ian),,,5,,BOUM,,,,,,,,,,,
RCC2236,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,flagellated,Mediterranean Sea,,,pelagic,P. von Dassow,Bendif E-M.,I. Probert,K/2ET,17.00,8.00,20,Haploid (non-calcifying)  phase (from RCC1857),"Monday, March 1, 2010",Yes,No,Yes,No,No,No,No,RCC2236,34.13,18.45,,B,Micropipette (1 cell),,K/2 (ian),,,5,,BOUM,,,,,,,,,,,
RCC2237,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,flagellated,Mediterranean Sea,,,pelagic,P. von Dassow,Bendif E-M.,I. Probert,K/2ET,17.00,8.00,20,Haploid (non-calcifying)  phase (from RCC1857),"Monday, March 1, 2010",Yes,No,Yes,No,No,No,No,RCC2237,34.13,18.45,,B,Micropipette (1 cell),,K/2 (ian),,,5,,BOUM,,,,,,,,,,,
RCC2238,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,flagellated,Mediterranean Sea,,,pelagic,P. von Dassow,Bendif E-M.,I. Probert,K/2ET,17.00,8.00,20,Haploid (non-calcifying)  phase (from RCC1857),"Monday, March 1, 2010",Yes,No,Yes,No,No,No,No,RCC2238,34.13,18.45,,B,Micropipette (1 cell),,K/2 (ian),,,5,,BOUM,,,,,,,,,,,
RCC2239,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,flagellated,Mediterranean Sea,,,pelagic,P. von Dassow,Bendif E-M.,I. Probert,K/2ET,17.00,8.00,20,Haploid (non-calcifying)  phase (from RCC1857),"Monday, March 1, 2010",Yes,No,Yes,No,No,No,No,RCC2239,34.13,18.45,,B,Micropipette (1 cell),,K/2 (ian),,,5,,BOUM,,,,,,,,,,,
RCC2241,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,flagellated,Mediterranean Sea,,,pelagic,P. von Dassow,Bendif E-M.,I. Probert,K/2ET,17.00,8.00,20,Haploid (non-calcifying)  phase (from RCC1857),"Monday, March 1, 2010",Yes,No,Yes,No,No,No,No,RCC2241,34.13,18.45,,B,Micropipette (1 cell),,K/2 (ian),,,5,,BOUM,,,,,,,,,,,
RCC2611,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Atlantic Ocean,North Sea,Netherlands,pelagic,P. Gourvil,Marie D.,,f/2,15.00,5.00,100,,"Friday, July 1, 2011",No,No,Yes,No,No,No,No,RCC2611,54.42,3.02,,South Rough,micropipette isolation,sequence,f/2,,,29,,CEFAS,12.06,,,,,,,,,,
RCC2615,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,round,,Atlantic Ocean,North Sea,Netherlands,pelagic,P. Gourvil,Marie D.,,f/2,15.00,5.00,100,,"Friday, July 1, 2011",No,No,Yes,No,No,No,No,RCC2615,53.82,3.42,,Nam field,micropipette isolation,sequence,f/2,,,5,,CEFAS,11.70,,,,,,,,,,
RCC2620,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,round,,Atlantic Ocean,North Sea,Netherlands,coastal,P. Gourvil,Marie D.,,f/2,15.00,5.00,100,,"Friday, July 1, 2011",No,No,Yes,No,No,No,No,RCC2620,53.62,4.0,,Pen field,micropipette isolation,sequence,f/2,,,12,,CEFAS,12.56,,,,,,,,,,
RCC2621,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,round,,Atlantic Ocean,North Sea,UK,coastal,P. Gourvil,Marie D.,,f/2,15.00,5.00,100,,"Friday, July 1, 2011",No,No,Yes,No,No,No,No,RCC2621,51.0,2.02,,West Gabbaed,micropipette isolation,sequence,f/2,,,4,,CEFAS,12.30,,,,,,,,,,
RCC2632,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,round,,Atlantic Ocean,North Sea,UK,pelagic,F. Le Gall,Marie D.,,K,15.00,5.00,100,,"Friday, July 1, 2011",No,No,Yes,No,No,No,No,RCC2632,55.0,2.45,,North Dogger,dilution seriées,sequence,K+Si,,,6,,CEFAS,11.10,,,,,,,,,,
RCC2634,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,round,,Atlantic Ocean,North Sea,UK,pelagic,F. Le Gall,Marie D.,,K,15.00,5.00,100,,"Friday, July 1, 2011",No,No,Yes,No,No,No,No,RCC2634,55.0,2.45,,North Dogger,Cell sorting-1 cell,sequence,K+Si,,,6,,CEFAS,11.10,,,,,,,,,,
RCC2635,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,round,,Atlantic Ocean,North Sea,Netherlands,pelagic,F. Le Gall,Marie D.,,K,15.00,5.00,100,,"Friday, July 1, 2011",No,No,Yes,No,No,No,No,RCC2635,54.77,2.99,,South Dogger,dilution seriées,sequence,K,,,7,,CEFAS,11.28,,,,,,,,,,
RCC2637,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,round,,Atlantic Ocean,North Sea,Netherlands,coastal,F. Le Gall,Marie D.,,K,15.00,5.00,100,,"Friday, July 1, 2011",No,No,Yes,No,No,No,No,RCC2637,53.62,4.0,,Pen field,dilution seriées,sequence,K,,,12,,CEFAS,12.56,,,,,,,,,,
RCC2639,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,round,,Atlantic Ocean,North Sea,Netherlands,pelagic,F. Le Gall,Marie D.,,K,15.00,5.00,100,,"Friday, July 1, 2011",No,No,Yes,No,No,No,No,RCC2639,53.82,3.42,,Nam field,Cell sorting-20 cell,sequence,K,,,5,,CEFAS,11.73,,,,,,,,,,
RCC2937,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Atlantic Ocean,North Sea,UK,pelagic,F. Le Gall,Marie D.,,K,15.00,,100,,"Friday, July 1, 2011",No,No,Yes,No,No,No,No,RCC2937,55.0,2.4,,North Dogger,Cell sorting-1 cell,sequence,K,,,7,,CEFAS,11.10,,,,,,,,,,
RCC2938,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Atlantic Ocean,North Sea,Netherlands,pelagic,F. Le Gall,Marie D.,,K,15.00,,100,,"Friday, July 1, 2011",No,No,Yes,No,No,No,No,RCC2938,53.62,4.03,,Pen field,Cell sorting-1 cell,sequence,K,,,12,,CEFAS,12.56,,,,,,,,,,
RCC2941,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Atlantic Ocean,North Sea,UK,pelagic,P. Gourvil,Marie D.,,f/2,15.00,,100,,"Friday, July 1, 2011",No,No,Yes,No,No,No,No,RCC2941,55.0,2.4,,North Dogger,Pipet isolation,sequence,f/2,,,9,,CEFAS,11.28,,,,,,,,,,
RCC3451,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,,,,,,,,,,,,,,No,No,Yes,No,No,No,No,RCC3451,,,,,,,,,,,,,,,,"Tuesday, January 21, 2014",,,,,,,
RCC3474,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Mediterranean Sea,Ligurian sea,France,pelagic,I. Probert,I. Probert,I. Probert,,20.00,6.00,50,Symbiont of Acanthochiasma (Acantharia)? (or contaminant),,No,No,Yes,No,No,Yes,,RCC3474,43.69,7.31,Villefranche-sur-Mer Bay,B,Micropipette (1 cell),,K/2 (ian),,,0,,,,,solitary,,No,Acanthochiasma,symbiont,,,,
RCC3484,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Pacific Ocean,,Japan,coastal,I. Probert,I. Probert,I. Probert,,22.00,12.00,,,"Thursday, December 1, 2011",Yes,No,Yes,No,No,No,No,RCC3484,26.61,127.87,Sesoko Island,,micropipette,,K/2,,,0,,,,,solitary,,,,,,,,
RCC3485,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Pacific Ocean,,Japan,coastal,I. Probert,I. Probert,I. Probert,,22.00,12.00,,,"Thursday, December 1, 2011",Yes,No,Yes,No,No,No,No,RCC3485,26.61,127.87,Sesoko Island,,micropipette,,K/2,,,0,,,,,solitary,,,,,,,,
RCC3491,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Pacific Ocean,,Japan,coastal,I. Probert,I. Probert,I. Probert,,22.00,12.00,,,"Thursday, December 1, 2011",Yes,No,Yes,No,No,No,No,RCC3491,26.61,127.87,Sesoko Island,,micropipette,,K/2,,,0,,,,,solitary,,,,,,,,
RCC3492,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Pacific Ocean,,Japan,coastal,I. Probert,I. Probert,I. Probert,,22.00,12.00,,,"Thursday, December 1, 2011",Yes,No,Yes,No,No,No,No,RCC3492,26.61,127.87,Sesoko Island,,micropipette,,K/2,,,0,,,,,solitary,,,,,,,,
RCC3493,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Pacific Ocean,,Japan,coastal,I. Probert,I. Probert,I. Probert,,22.00,12.00,,,"Thursday, December 1, 2011",Yes,No,Yes,No,No,No,No,RCC3493,26.61,127.87,Sesoko Island,,micropipette,,K/2,,,0,,,,,solitary,,,,,,,,
RCC3496,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Pacific Ocean,,Japan,coastal,I. Probert,I. Probert,I. Probert,,22.00,12.00,,,"Thursday, December 1, 2011",Yes,No,Yes,No,No,No,No,RCC3496,26.61,127.87,Sesoko Island,,micropipette,,K/2,,,0,,,,,solitary,,,,,,,,
RCC3498,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Pacific Ocean,,Japan,coastal,I. Probert,I. Probert,I. Probert,,22.00,12.00,,,"Thursday, December 1, 2011",Yes,No,Yes,No,No,No,No,RCC3498,26.61,127.87,Sesoko Island,,micropipette,,K/2,,,0,,,,,solitary,,,,,,,,
RCC3499,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Pacific Ocean,,Japan,coastal,I. Probert,I. Probert,I. Probert,,22.00,12.00,,,"Thursday, December 1, 2011",Yes,No,Yes,No,No,No,No,RCC3499,26.61,127.87,Sesoko Island,,micropipette,,K/2,,,0,,,,,solitary,,,,,,,,
RCC3520,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,,,,,,,,,15.00,,,,,No,No,Yes,No,No,No,No,RCC3520,,,,,,,,,,,,,,,,"Tuesday, January 21, 2014",,,,,,,
RCC3521,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,,,,,,,,,15.00,,,,,No,No,Yes,No,No,No,No,RCC3521,,,,,,,,,,,,,,,,"Tuesday, January 21, 2014",,,,,,,
RCC3522,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,,,,,,,,,15.00,,,,,No,No,Yes,No,No,No,No,RCC3522,,,,,,,,,,,,,,,,"Tuesday, January 21, 2014",,,,,,,
RCC3523,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,,,,,,,,,15.00,,,,,No,No,Yes,No,No,No,No,RCC3523,,,,,,,,,,,,,,,,"Tuesday, January 21, 2014",,,,,,,
RCC3525,Eukaryota,Eukaryota_X,Eukaryota_XX,Eukaryota_XXX,Eukaryota_XXXX,Eukaryota_XXXXX,,,,,,,,,,,15.00,,,,,No,No,Yes,No,No,No,No,RCC3525,,,,,,,,,,,,,,,,"Tuesday, January 21, 2014",,,,,,,
RCC3526,Eukaryota,Eukaryota_X,Eukaryota_XX,Eukaryota_XXX,Eukaryota_XXXX,Eukaryota_XXXXX,,,,,,,,,,,15.00,,,,,No,No,Yes,No,No,No,No,RCC3526,,,,Stn 44,,,,,,,,,,,,"Tuesday, January 21, 2014",,,,,,,
RCC3527,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,,,,,,,,,15.00,,,,,No,No,Yes,No,No,No,No,RCC3527,,,,Stn 44,,,,,,,,,,,,"Tuesday, January 21, 2014",,,,,,,
RCC3528,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,,,,,,,,,15.00,,,,,No,No,Yes,No,No,No,No,RCC3528,,,,Stn 44,,,,,,,,,,,,"Tuesday, January 21, 2014",,,,,,,
RCC3529,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,,,,,,,,,15.00,,,,,No,No,Yes,No,No,No,No,RCC3529,,,,Stn 44,,,,,,,,,,,,"Tuesday, January 21, 2014",,,,,,,
RCC3530,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Atlantic Ocean,,,,Probert I,J. Young,,,15.00,,,,,Yes,No,,No,No,No,No,RCC3530,,,,,Micropipette (1 cell),,K/2,,,,,,,,,"Tuesday, January 21, 2014",,,,,,,
RCC3531,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,,,,,,,,,15.00,,,,,No,No,Yes,No,No,No,No,RCC3531,,,,,,,,,,,,,,,,"Tuesday, January 21, 2014",,,,,,,
RCC3532,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,,,,,,,,,15.00,,,,,No,No,Yes,No,No,No,No,RCC3532,,,,,,,,,,,,,,,,"Tuesday, January 21, 2014",,,,,,,
RCC3533,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,,,,,,,,,15.00,,,,,No,No,Yes,No,No,No,No,RCC3533,,,,,,,,,,,,,,,,"Tuesday, January 21, 2014",,,,,,,
RCC3544,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,,,,,,,,,,,,,,No,No,Yes,No,No,No,No,RCC3544,,,,,,,,,,,,,,,,"Tuesday, January 21, 2014",,,,,,,
RCC3545,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,,,,,,,,,,,,,,No,No,Yes,No,No,No,No,RCC3545,,,,,,,,,,,,,,,,"Tuesday, January 21, 2014",,,,,,,
RCC3546,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,,,,,,,,,,,,,,No,No,Yes,No,No,No,No,RCC3546,,,,,,,,,,,,,,,,"Tuesday, January 21, 2014",,,,,,,
RCC3547,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,,,,,,,,,,,,,,No,No,Yes,No,No,No,No,RCC3547,,,,,,,,,,,,,,,,"Tuesday, January 21, 2014",,,,,,,
RCC3548,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,,,,,,,,,,,,,,No,No,Yes,No,No,No,No,RCC3548,,,,,,,,,,,,,,,,"Tuesday, January 21, 2014",,,,,,,
RCC3549,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South Pacific,New Zealand,,,,,K/2,17.00,16.00,25,Mitochondrial genotype Beta.,,No,No,Yes,No,No,No,No,RCC3549,-46.98,168.12,Big Glory Bay,,,,,,,,,,,,,"Tuesday, January 21, 2014",,,,,,,
RCC3553,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Atlantic Ocean,North Sea,Norway,pelagic,J. Green,,CCAP,K/2,17.00,16.00,25,Approximate location.,,Yes,No,Yes,No,No,No,No,RCC3553,60.28,5.2,Bergen,,,,,,,,,,,,,"Tuesday, January 21, 2014",,,,,,,
RCC3554,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Atlantic Ocean,,UK,,C. Campbell,,CCAP,K/2,17.00,16.00,25,Approximate location.,,No,No,Yes,No,No,No,No,RCC3554,58.39,-5.07,Loch Laxford - Sutherland,,,,,,,,,,,,,"Tuesday, January 21, 2014",,,,,,,
RCC3555,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,,,,,,,CCAP,,,,,,,No,No,Yes,No,No,No,No,RCC3555,,,,,,,,,,,,,,,,"Tuesday, January 21, 2014",,,,,,,
RCC3651,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Mediterranean Sea,Ligurian sea,France,pelagic,I. Probert,I. Probert,I. Probert,K/2,17.00,12.00,30,,,No,No,Yes,No,No,No,No,RCC3651,43.69,7.31,Villefranche-sur-Mer Bay,B,Micropipette (1 cell),,K/2 (ian),,,,,,,,,"Tuesday, January 21, 2014",,,,20.00,,,
RCC3716,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,,Japan,pelagic,K. Hagino,,K. Hagino,K/2,17.00,12.00,25,,,Yes,No,Yes,No,No,No,No,RCC3716,33.25,133.63,Japanese coast,,,,,,,,,,,,,"Tuesday, January 21, 2014",,,,21.20,Morphotype A,"Wednesday, February 8, 2012",
